Date,Capital
2020-01-23,237651.9277
2020-01-24,234131.5764
2020-01-27,237345.1607
2020-01-28,237855.7577
2020-01-29,238702.9895
2020-01-30,234659.3143
2020-01-31,235106.5225
2020-02-03,238402.8093
2020-02-04,242738.5815
2020-02-05,243541.1078
2020-02-06,241555.4384
2020-02-07,243044.3628
2020-02-10,243930.2975
2020-02-11,244649.358
2020-02-12,244548.3687
2020-02-13,245564.9521
2020-02-14,244819.1606
2020-02-18,246009.9599
2020-02-19,246468.4843
2020-02-20,241842.5425
2020-02-21,231899.626
2020-02-24,223391.5056
2020-02-25,222229.4626
2020-02-26,212507.3894
2020-02-27,212021.1249
2020-02-28,222472.8888
2020-03-02,215382.3876
2020-03-03,227163.5607
2020-03-04,218074.1783
2020-03-05,215313.8667
2020-03-06,199374.9443
2020-03-09,210711.3193
2020-03-10,198172.8018
2020-03-11,176212.0997
2020-03-12,195363.9965
2020-03-13,171904.3275
2020-03-16,180937.8983
2020-03-17,163545.0399
2020-03-18,168712.1322
2020-03-19,160600.8308
2020-03-20,154544.286
2020-03-23,176714.7804
2020-03-24,174456.8761
2020-03-25,183728.193
2020-03-26,178549.5245
2020-03-27,182097.6019
2020-03-30,177172.4023
2020-03-31,168155.8558
2020-04-01,172476.549
2020-04-02,169550.0659
2020-04-03,183580.4814
2020-04-06,183311.7706
2020-04-07,189041.9469
2020-04-08,191467.3725
2020-04-09,189728.5949
2020-04-13,191037.05
2020-04-14,185256.7054
2020-04-15,182929.6111
2020-04-16,195577.6864
2020-04-17,193069.6002
2020-04-20,188702.6222
2020-04-21,193378.7763
2020-04-22,194891.1365
2020-04-23,197790.0548
2020-04-24,200260.9277
2020-04-27,198495.3552
2020-04-28,201723.677
2020-04-29,200258.1147
2020-04-30,194100.8065
2020-05-01,194705.8435
2020-05-04,194164.701
2020-05-05,191479.9148
2020-05-06,194108.0837
2020-05-07,197720.933
2020-05-08,199265.7439
2020-05-11,193585.6237
2020-05-12,188504.5436
2020-05-13,192719.7517
2020-05-14,195338.7475
2020-05-15,206460.8009
2020-05-18,203941.7504
2020-05-19,206843.6299
2020-05-20,206053.5357
2020-05-21,206531.6305
2020-05-22,212872.3799
2020-05-26,213359.2858
2020-05-27,215034.3214
2020-05-28,214029.0582
2020-05-29,216886.7617
2020-06-01,219183.5829
2020-06-02,221725.0851
2020-06-03,219200.6376
2020-06-04,223857.917
2020-06-05,225536.0491
2020-06-08,226751.4507
2020-06-09,220861.0805
2020-06-10,202014.7655
2020-06-11,209066.1058
2020-06-12,210340.243
2020-06-15,215545.066
2020-06-16,215407.1457
2020-06-17,214974.9503
2020-06-18,213244.0884
2020-06-19,213923.7441
2020-06-22,214040.7779
2020-06-23,209270.6935
2020-06-24,213201.025
2020-06-25,208964.0263
2020-06-26,212089.2253
2020-06-29,216012.3667
2020-06-30,215163.8611
2020-07-01,216000.7789
2020-07-02,219998.2772
2020-07-06,219313.7014
2020-07-07,221104.3987
2020-07-08,218054.9075
2020-07-09,223902.2487
2020-07-10,221617.0447
2020-07-13,224623.4132
2020-07-14,225399.6349
2020-07-15,225169.9551
2020-07-16,224581.8348
2020-07-17,225848.3061
2020-07-20,229933.8002
2020-07-21,231190.8676
2020-07-22,229533.2255
2020-07-23,228506.4742
2020-07-24,230175.2219
2020-07-27,230044.8422
2020-07-28,232971.7694
2020-07-29,231828.0888
2020-07-30,228736.2812
2020-07-31,229250.5952
2020-08-03,230620.2417
2020-08-04,233869.524
2020-08-05,234957.4644
2020-08-06,237229.6572
2020-08-07,238530.3925
2020-08-10,236204.208
2020-08-11,241665.0248
2020-08-12,241129.6077
2020-08-13,241076.4359
2020-08-14,241776.156
2020-08-17,239859.2834
2020-08-18,238560.8487
2020-08-19,237801.7476
2020-08-20,238180.4829
2020-08-21,242208.1777
2020-08-24,244720.7743
2020-08-25,245081.442
2020-08-26,248036.1792
2020-08-27,249655.0228
2020-08-28,250661.2424
2020-08-31,253345.4625
2020-09-01,258603.1709
2020-09-02,249993.0861
2020-09-03,246448.4753
2020-09-04,239629.0192
2020-09-08,245755.1089
2020-09-09,243147.5939
2020-09-10,242410.7091
2020-09-11,245944.8565
2020-09-14,245146.7655
2020-09-15,247700.7055
2020-09-16,245395.1668
2020-09-17,242450.0362
2020-09-18,240062.5059
2020-09-21,240267.8029
2020-09-22,236081.7436
2020-09-23,236590.9418
2020-09-24,239963.8281
2020-09-25,242145.3754
2020-09-28,241451.6035
2020-09-29,244014.736
2020-09-30,243953.2433
2020-10-01,244474.1006
2020-10-02,249612.4697
2020-10-05,247304.1341
2020-10-06,251758.5511
2020-10-07,253270.1587
2020-10-08,255864.525
2020-10-09,258690.623
